iter	RMSE
0	14.25749329
1	13.32647322
2	12.51798851
3	11.88127558
4	11.25349684
5	10.69847061
6	10.20958929
7	9.739633788
8	9.296511705
9	8.902650006
10	8.550317473
11	8.18708861
12	7.87467766
13	7.584713957
14	7.367608876
15	7.173980077
16	6.972653438
17	6.796975318
18	6.649037431
19	6.529336955
20	6.397751067
21	6.283372119
22	6.180240366
23	6.084617398
24	5.989067447
25	5.908098278
26	5.829342417
27	5.770235918
28	5.715012681
29	5.661488101
30	5.622622641
31	5.576495352
32	5.530287236
33	5.501709312
34	5.473331793
35	5.439279159
36	5.406102922
37	5.37680161
38	5.353003149
39	5.328076308
40	5.305159684
41	5.283662611
42	5.275129696
43	5.256126214
44	5.24182063
45	5.223100847
46	5.19856278
47	5.175159856
48	5.162774919
49	5.151670928
50	5.137467323
51	5.12231957
52	5.111291086
53	5.098944046
54	5.09177829
55	5.073521427
56	5.058292364
57	5.039008943
58	5.029319719
59	5.019250073
60	4.998442552
61	4.98993262
62	4.976500258
63	4.96375744
64	4.948259689
65	4.935355125
66	4.91890777
67	4.901708837
68	4.890837305
69	4.880261319
70	4.870958554
71	4.86073053
72	4.854848469
73	4.848395998
74	4.839050745
75	4.829274808
76	4.82201809
77	4.81660233
78	4.811288056
79	4.804524817
80	4.792024221
81	4.781712224
82	4.768032826
83	4.75848682
84	4.751253373
85	4.743257367
86	4.737690603
87	4.731307638
88	4.727968663
89	4.724014101
90	4.720187878
91	4.709434466
92	4.703146931
93	4.690956404
94	4.684300379
95	4.677468457
96	4.672472024
97	4.662394217
98	4.650444306
99	4.641157781
