iter	Passed	Remaining
0	0	855
1	1	816
2	2	841
3	3	880
4	4	902
5	5	896
6	6	880
7	6	863
8	7	863
9	8	857
10	9	855
11	10	854
12	11	859
13	12	874
14	13	871
15	14	862
16	14	859
17	15	862
18	16	860
19	18	891
20	19	902
21	20	902
22	21	897
23	21	893
24	22	884
25	23	874
26	24	871
27	24	866
28	25	868
29	26	867
30	27	864
31	28	857
32	29	855
33	29	851
34	30	848
35	31	851
36	32	854
37	34	871
38	35	874
39	36	873
40	37	875
41	38	873
42	39	878
43	40	877
44	41	877
45	42	877
46	43	873
47	43	870
48	44	869
49	45	868
50	46	867
51	47	864
52	48	864
53	49	860
54	50	859
55	50	855
56	51	851
57	52	848
58	53	848
59	53	845
60	54	842
61	55	841
62	56	840
63	57	839
64	58	838
65	59	839
66	60	836
67	60	834
68	61	832
69	62	831
70	63	831
71	64	829
72	65	826
73	65	824
74	66	822
75	67	821
76	68	819
77	69	817
78	69	815
79	70	814
80	71	814
81	72	813
82	73	806
83	73	805
84	74	805
85	75	805
86	76	806
87	77	802
88	78	800
89	79	801
90	80	800
91	81	799
92	81	798
93	82	796
94	83	794
95	84	792
96	84	789
97	85	785
98	86	784
99	87	784
100	88	783
101	88	782
102	89	782
103	90	781
104	91	777
105	91	774
106	92	771
107	93	769
108	94	768
109	94	768
110	95	766
111	96	765
112	97	765
113	98	764
114	99	763
115	99	760
116	100	757
117	101	757
118	102	756
119	102	755
120	103	753
121	104	751
122	105	750
123	106	748
124	106	746
125	107	745
126	107	742
127	108	741
128	109	741
129	110	739
130	111	738
131	112	737
132	113	736
133	113	734
134	114	732
135	114	729
136	115	727
137	116	726
138	117	727
139	118	726
140	119	725
141	119	722
142	120	721
143	121	720
144	121	718
145	122	715
146	123	714
147	123	712
148	124	711
149	125	710
150	126	710
151	127	709
152	127	708
153	128	707
154	129	706
155	130	704
156	130	702
157	131	702
158	132	701
159	133	700
160	133	697
161	134	697
162	135	696
163	136	695
164	137	694
165	137	692
166	138	691
167	139	690
168	140	689
169	140	687
170	141	686
171	142	685
172	143	684
173	144	684
174	144	682
175	145	680
176	146	679
177	146	678
178	147	678
179	148	677
180	149	677
181	150	676
182	151	675
183	152	674
184	152	673
185	153	671
186	154	671
187	155	671
188	156	670
189	157	669
190	157	668
191	158	667
192	159	666
193	159	664
194	160	663
195	161	661
196	162	660
197	163	661
198	164	660
199	164	658
200	165	658
201	166	657
202	167	656
203	167	654
204	168	653
205	169	652
206	170	651
207	171	651
208	171	650
209	172	649
210	173	648
211	174	648
212	175	647
213	176	646
214	177	646
215	178	646
216	178	644
217	179	643
218	181	645
219	181	644
220	182	643
221	183	641
222	183	640
223	184	639
224	185	639
225	186	638
226	187	637
227	188	637
228	189	636
229	190	636
230	190	635
231	191	633
232	192	633
233	193	632
234	193	631
235	194	630
236	195	629
237	196	628
238	197	627
239	197	625
240	198	624
241	199	623
242	199	622
243	200	622
244	201	621
245	202	620
246	203	619
247	203	618
248	204	617
249	205	616
250	206	615
251	206	613
252	207	613
253	208	612
254	209	611
255	210	610
256	210	609
257	211	608
258	212	607
259	212	606
260	213	604
261	214	603
262	215	603
263	216	602
264	217	601
265	217	601
266	218	600
267	219	599
268	220	598
269	220	597
270	221	595
271	222	595
272	223	594
273	224	593
274	224	593
275	225	592
276	226	591
277	227	590
278	227	589
279	228	587
280	229	586
281	230	585
282	230	585
283	231	584
284	232	583
285	233	582
286	234	581
287	234	580
288	235	579
289	236	578
290	237	577
291	237	576
292	238	576
293	239	575
294	240	575
295	241	574
296	242	573
297	243	572
298	243	571
299	244	570
300	245	570
301	246	569
302	247	568
303	248	568
304	249	567
305	249	566
306	250	565
307	251	564
308	252	563
309	253	563
310	253	562
311	254	561
312	255	560
313	256	559
314	257	559
315	257	558
316	258	557
317	259	555
318	260	555
319	261	554
320	261	554
321	262	553
322	263	552
323	264	551
324	265	551
325	266	550
326	267	549
327	267	548
328	268	548
329	269	547
330	270	546
331	271	546
332	272	545
333	273	545
334	274	544
335	275	543
336	276	543
337	276	542
338	277	541
339	278	540
340	279	539
341	280	539
342	280	538
343	281	537
344	282	536
345	283	536
346	284	535
347	285	534
348	285	533
349	286	532
350	287	531
351	288	530
352	289	529
353	289	529
354	290	528
355	291	527
356	292	526
357	293	525
358	294	525
359	295	524
360	295	523
361	296	522
362	297	521
363	298	521
364	299	520
365	299	519
366	300	519
367	301	518
368	302	517
369	303	516
370	304	515
371	304	514
372	305	514
373	306	513
374	307	512
375	308	511
376	309	510
377	310	510
378	310	509
379	311	508
380	312	507
381	313	506
382	314	505
383	314	505
384	315	504
385	316	503
386	317	502
387	318	501
388	318	500
389	319	499
390	320	498
391	321	498
392	322	497
393	322	496
394	323	495
395	324	494
396	325	494
397	326	493
398	326	492
399	327	491
400	328	490
401	329	490
402	330	489
403	332	490
404	333	489
405	334	489
406	335	488
407	336	487
408	337	486
409	337	486
410	338	485
411	339	484
412	340	483
413	340	482
414	341	481
415	342	480
416	343	480
417	344	479
418	345	479
419	346	478
420	347	477
421	347	476
422	348	475
423	349	474
424	350	473
425	351	473
426	352	472
427	352	471
428	353	471
429	354	470
430	355	469
431	356	468
432	356	467
433	357	466
434	358	465
435	359	465
436	360	464
437	361	463
438	363	463
439	363	463
440	364	462
441	365	461
442	366	460
443	367	459
444	367	458
445	368	457
446	369	456
447	370	456
448	371	455
449	371	454
450	372	453
451	373	453
452	374	452
453	375	451
454	376	450
455	377	449
456	377	449
457	378	448
458	379	447
459	380	446
460	381	445
461	382	445
462	382	444
463	383	443
464	384	442
465	385	441
466	385	440
467	386	439
468	387	438
469	387	437
470	388	436
471	389	435
472	390	435
473	391	434
474	392	433
475	392	432
476	393	431
